Date,Close,Open,High,Low,Volume
2024-03-22,,,,,
2024-03-25,,,,,
2024-03-26,80.0,91.05,96.05,79.1,353582.0
2024-03-27,75.0,80.0,80.0,74.18,454568.0
2024-03-28,69.55,78.0,78.0,69.0,2869643.0
2024-04-01,69.1,69.15,72.4,65.0,14094855.0
2024-04-02,66.9,67.67,68.59,64.47,9446891.0
2024-04-03,63.89,65.53,67.77,63.86,5177150.0
2024-04-04,67.0,63.05,68.17,62.33,5239733.0
2024-04-05,70.06,65.97,70.15,65.18,4216625.0
2024-04-08,67.01,70.06,71.66,66.25,4467678.0
2024-04-09,65.52,65.48,68.0,65.01,2894692.0
2024-04-10,63.89,64.68,64.93,63.59,2114791.0
2024-04-11,63.17,63.57,64.3,62.3,2396618.0
2024-04-12,62.75,62.5,63.25,61.87,1795364.0
2024-04-15,61.69,62.1,63.79,61.56,2043059.0
2024-04-16,61.95,62.0,62.99,61.66,1583249.0
2024-04-17,61.75,61.82,62.67,61.5,1849789.0
2024-04-18,64.03,61.84,64.11,61.38,2070485.0
2024-04-19,62.2,63.58,64.06,61.99,1469197.0
2024-04-22,62.07,62.25,62.76,61.83,1380397.0
2024-04-23,63.5,62.03,64.19,61.85,1505935.0
2024-04-24,63.54,62.85,64.18,62.78,1055100.0
2024-04-25,61.83,62.75,63.07,60.72,2938475.0
2024-04-26,64.43,61.46,64.69,61.32,1641165.0
2024-04-29,65.91,63.49,66.67,63.04,2163617.0
2024-04-30,65.01,65.21,65.86,63.75,2132558.0
2024-05-01,65.15,64.95,66.85,64.29,1612395.0
2024-05-02,65.14,65.0,66.23,64.7,1697552.0
2024-05-03,64.65,65.43,65.56,63.8,1724999.0
2024-05-06,64.69,64.7,65.11,64.3,1200293.0
2024-05-07,65.56,64.79,65.9,64.46,2270340.0
2024-05-08,66.43,65.23,66.97,65.15,1910630.0
2024-05-09,64.83,65.52,67.5,63.49,3088693.0
2024-05-10,63.74,63.8,64.81,63.03,1916241.0
2024-05-13,63.14,64.0,64.44,63.12,1510912.0
2024-05-14,65.1,63.61,65.4,63.46,1627518.0
2024-05-15,62.44,64.83,65.18,62.23,2812481.0
2024-05-16,61.56,62.0,62.03,60.57,2653989.0
2024-05-17,62.38,61.8,62.42,61.0,1711108.0
2024-05-20,62.03,62.46,62.82,61.85,1459022.0
2024-05-21,61.22,61.8,62.25,61.14,1319804.0
2024-05-22,61.89,61.07,62.24,60.92,1403793.0
2024-05-23,59.93,61.28,61.6,59.89,1733174.0
2024-05-24,60.45,59.81,60.78,59.06,1269448.0
2024-05-28,59.86,60.2,60.25,59.34,1705111.0
2024-05-29,59.72,59.23,60.12,59.23,1050386.0
2024-05-30,58.35,59.11,59.16,56.72,3253706.0
2024-05-31,59.34,58.06,59.4,57.19,5801420.0
2024-06-03,57.05,59.34,59.87,56.81,1680845.0
2024-06-04,55.61,56.82,57.25,55.5,2111514.0
2024-06-05,55.73,55.61,56.01,54.75,1342648.0
2024-06-06,55.05,55.38,55.44,54.47,1806251.0
2024-06-07,56.41,54.5,56.78,54.47,1534965.0
2024-06-10,56.71,56.05,57.28,56.05,1733769.0
2024-06-11,56.54,56.6,56.79,56.18,1363209.0
2024-06-12,56.16,56.87,57.14,56.13,1040591.0
2024-06-13,54.13,55.83,56.7,54.0,1408545.0
2024-06-14,54.56,52.96,54.78,52.58,1372090.0
2024-06-17,54.63,54.42,54.79,53.19,1406367.0
2024-06-18,53.32,54.12,55.07,52.96,1852703.0
2024-06-20,53.8,52.94,54.09,52.44,1720999.0
2024-06-21,52.35,53.83,54.77,52.2,7696882.0
2024-06-24,51.3,52.35,53.0,51.26,2581723.0
2024-06-25,51.25,51.24,51.62,50.63,1628301.0
2024-06-26,50.75,50.9,51.23,50.5,1141091.0
2024-06-27,51.33,50.5,51.39,50.49,1634482.0
2024-06-28,52.88,51.48,53.11,51.18,4809448.0
2024-07-01,51.45,53.0,53.56,51.21,1360295.0
2024-07-02,51.6,51.4,51.83,51.25,1309792.0
2024-07-03,50.85,51.63,51.77,50.61,891107.0
2024-07-05,49.9,50.5,51.0,49.53,2060388.0
2024-07-08,49.64,50.0,50.42,49.58,1194388.0
2024-07-09,48.02,49.39,49.74,47.98,1714301.0
2024-07-10,48.18,48.1,48.53,47.35,1218128.0
2024-07-11,49.36,48.45,49.75,48.24,1327699.0
2024-07-12,49.0,49.49,50.36,48.98,1089566.0
2024-07-15,48.22,48.78,49.19,48.12,905602.0
2024-07-16,50.04,47.26,50.26,47.16,1488125.0
2024-07-17,53.0,49.86,53.39,49.64,2496657.0
2024-07-18,54.98,52.71,55.1,52.4,2776256.0
2024-07-19,54.6,55.0,56.0,54.5,2602402.0
2024-07-22,54.13,54.84,55.11,53.03,1806251.0
2024-07-23,56.64,56.31,56.74,55.55,2073910.0
2024-07-24,58.09,56.78,59.97,56.64,2204515.0
2024-07-25,57.55,57.5,58.84,56.69,1540666.0
2024-07-26,57.63,58.06,59.0,57.38,1122368.0
2024-07-29,57.34,57.31,57.75,55.9,1001946.0
2024-07-30,58.95,57.58,59.3,57.14,1379478.0
2024-07-31,58.88,58.66,59.82,58.09,1124958.0
2024-08-01,58.06,58.81,59.38,57.38,1049922.0
2024-08-02,57.31,57.68,58.19,56.71,1058480.0
2024-08-05,56.14,55.06,56.37,54.26,1136145.0
2024-08-06,57.45,56.0,58.06,55.85,916594.0
2024-08-07,55.9,57.81,58.28,55.81,1519334.0
2024-08-08,58.66,55.9,58.97,55.62,1333920.0
2024-08-09,60.59,60.0,62.24,59.5,2411871.0
2024-08-12,57.71,60.59,60.68,57.43,1174914.0
2024-08-13,58.22,57.26,58.69,56.69,978574.0
2024-08-14,57.78,58.41,59.0,57.48,867011.0
2024-08-15,58.84,58.25,59.2,57.86,1013219.0
2024-08-16,59.4,58.96,59.99,58.61,842937.0
2024-08-19,59.45,59.42,60.35,59.24,1084316.0
2024-08-20,59.45,59.21,60.07,59.21,771139.0
2024-08-21,59.66,59.58,59.82,58.76,936431.0
2024-08-22,59.77,59.91,60.68,59.48,710438.0
2024-08-23,61.4,60.17,61.64,59.9,642626.0
2024-08-26,60.18,61.38,61.88,59.67,938404.0
2024-08-27,60.55,59.83,61.0,59.61,770083.0
2024-08-28,60.05,60.36,60.46,59.35,794923.0
2024-08-29,62.92,60.17,63.75,60.01,1463911.0
2024-08-30,64.11,62.83,65.0,62.83,2089475.0
2024-09-03,63.83,63.52,64.45,63.35,1140864.0
2024-09-04,65.11,63.44,65.53,63.18,1414907.0
2024-09-05,65.6,65.06,65.78,64.08,1437070.0
2024-09-06,66.2,65.53,66.56,64.52,1299484.0
2024-09-09,67.03,65.97,67.67,65.74,1417858.0
2024-09-10,68.35,67.0,68.98,66.38,1648832.0
2024-09-11,69.41,67.88,69.52,67.17,1623002.0
2024-09-12,68.65,68.78,70.12,68.32,1274086.0
2024-09-13,70.0,68.65,70.42,68.54,1013112.0
2024-09-16,71.79,69.97,71.92,69.9,991044.0
2024-09-17,72.33,71.5,73.4,71.36,788852.0
2024-09-18,72.13,72.3,73.27,71.51,679767.0
2024-09-19,72.34,72.9,73.23,72.2,886372.0
2024-09-20,69.95,72.03,72.13,69.85,4410211.0
2024-09-23,70.12,70.33,71.36,69.49,1336936.0
2024-09-24,70.04,70.12,70.87,69.7,878965.0
2024-09-25,69.22,70.1,70.12,68.76,772478.0
2024-09-26,68.1,68.86,69.05,67.88,1951894.0
2024-09-27,67.57,68.41,69.13,67.32,2001249.0
2024-09-30,69.72,67.49,69.85,67.3,1369287.0
2024-10-01,67.3,69.44,69.44,66.95,932406.0
2024-10-02,67.63,66.98,68.26,66.6,820693.0
2024-10-03,67.26,67.63,67.82,66.65,754814.0
2024-10-04,67.74,67.58,68.41,67.2,837213.0
2024-10-07,66.29,67.35,67.35,65.97,1222649.0
2024-10-08,67.13,66.8,68.72,66.71,1034442.0
2024-10-09,69.18,67.48,69.26,67.27,842363.0
2024-10-10,68.1,68.8,68.81,67.88,529575.0
2024-10-11,68.14,68.25,68.85,67.74,1235889.0
2024-10-14,69.39,68.22,69.47,68.1,646965.0
2024-10-15,69.72,69.15,70.5,69.02,957471.0
2024-10-16,71.42,69.75,71.6,69.7,774662.0
2024-10-17,72.41,71.5,72.72,71.14,1252242.0
2024-10-18,73.68,72.79,73.8,72.36,831689.0
2024-10-21,73.1,73.5,73.87,72.22,834900.0
2024-10-22,72.61,73.0,73.13,72.21,745739.0
2024-10-23,72.5,72.37,72.69,71.33,701547.0
2024-10-24,73.2,72.53,76.05,72.39,2120465.0
2024-10-25,73.19,73.15,73.94,72.85,713506.0
2024-10-28,73.36,73.19,73.55,72.75,822862.0
2024-10-29,73.35,72.77,73.87,72.54,683073.0
2024-10-30,73.57,73.26,74.12,72.98,601207.0
2024-10-31,72.58,73.33,73.88,72.58,801387.0
2024-11-01,72.46,73.0,73.82,72.36,689831.0
2024-11-04,72.17,72.5,73.73,72.01,781349.0
2024-11-05,73.16,71.56,73.51,71.01,892026.0
2024-11-06,74.14,73.58,75.18,73.58,1415335.0
2024-11-07,75.07,74.03,75.42,72.89,1598913.0
2024-11-08,72.43,76.6,77.17,72.02,2159241.0
2024-11-11,71.53,72.22,73.2,71.04,1065946.0
2024-11-12,70.7,71.42,72.25,69.62,1290453.0
2024-11-13,70.04,70.23,71.06,69.68,917355.0
2024-11-14,67.9,69.38,70.31,67.85,1063194.0
2024-11-15,67.48,67.74,68.33,67.0,1146295.0
2024-11-18,67.12,67.19,67.43,65.95,939229.0
2024-11-19,67.05,66.65,67.48,66.51,711432.0
2024-11-20,68.39,66.84,68.68,66.65,953328.0
2024-11-21,69.63,68.19,69.93,68.19,799914.0
2024-11-22,70.81,69.79,70.94,69.61,700145.0
2024-11-25,71.61,70.63,72.1,70.48,1622950.0
2024-11-26,71.49,71.61,71.99,70.57,676288.0
2024-11-27,72.48,71.82,72.81,71.35,702927.0
2024-11-29,71.51,72.64,72.79,71.06,576974.0
2024-12-02,71.99,71.5,72.38,71.11,984401.0
2024-12-03,70.77,71.78,71.93,69.88,1254601.0
2024-12-04,70.26,69.98,71.18,68.9,885034.0
2024-12-05,69.57,69.87,70.73,69.25,845243.0
2024-12-06,69.96,69.51,71.04,69.46,1049489.0
2024-12-09,70.63,69.92,71.39,69.76,662237.0
2024-12-10,69.72,70.98,70.98,68.76,767212.0
2024-12-11,70.49,70.0,70.89,69.4,588734.0
2024-12-12,70.01,70.35,70.73,69.69,620149.0
2024-12-13,69.56,70.0,70.0,68.8,637853.0
2024-12-16,69.27,69.26,70.34,68.96,755847.0
2024-12-17,68.6,69.08,70.0,68.0,756890.0
2024-12-18,66.89,68.45,68.9,66.58,595908.0
2024-12-19,66.8,67.09,67.76,66.21,1141863.0
2024-12-20,66.83,66.58,67.5,66.28,1798749.0
2024-12-23,66.63,66.61,67.08,66.01,823212.0
2024-12-24,66.56,66.29,66.7,65.85,252375.0
